2011-12-02 17:53:16 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-02 20:59:56 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-02 21:03:54 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 15:28:45 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 15:53:01 NSL需求報表	-2147467259	[DBNETLIB][ConnectionWrite (send()).]一般網路錯誤。 查閱您的網路文件。	
2011-12-05 15:59:47 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 16:17:32 NSL需求報表	-2147467259	[DBNETLIB][ConnectionWrite (send()).]一般網路錯誤。 查閱您的網路文件。	
2011-12-05 18:42:16 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:03 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:19 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:56 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:47:31 訂單接收	3704	當物件關閉時，不允許操作。	
2011-12-05 18:48:15 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:48:45 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
2011-12-05 18:49:12 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
2011-12-05 18:49:35 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
BestTRP	2012-01-06 09:43:27	0	排車轉訂單	WMS: 0000006269,TMS: F120106073,LNSL01,0000006772,8033788819          
BestTRP	2012-01-06 09:43:27	0	排車轉訂單	WMS: 0000006270,TMS: F120106073,LNSL01,0000006773,8033789210          
BestTRP	2012-01-06 09:43:27	0	排車轉訂單	WMS: 0000006271,TMS: F120106073,LNSL01,0000006774,8033789211          
BestTRP	2012-01-06 09:43:27	0	排車轉訂單	WMS: 0000006272,TMS: F120106073,LNSL01,0000006775,8033789212          
BestTRP	2012-01-06 09:43:28	0	排車轉訂單	WMS: 0000006273,TMS: F120106073,LNSL01,0000006776,8033789213          
BestTRP	2012-01-06 09:43:29	0	排車轉訂單	WMS: 0000006274,TMS: F120106073,LNSL01,0000006777,8033789215          
BestTRP	2012-01-06 09:43:29	0	排車轉訂單	WMS: 0000006275,TMS: F120106073,LNSL01,0000006778,8033789216          
BestTRP	2012-01-06 09:43:29	0	排車轉訂單	WMS: 0000006276,TMS: F120106073,LNSL01,0000006779,8033789219          
BestTRP	2012-01-06 09:43:30	0	排車轉訂單	WMS: 0000006277,TMS: F120106073,LNSL01,0000006780,8033789220          
BestTRP	2012-01-06 09:43:30	0	排車轉訂單	WMS: 0000006278,TMS: F120106073,LNSL01,0000006781,8033789221          
BestTRP	2012-01-06 09:43:30	0	排車轉訂單	WMS: 0000006279,TMS: F120106073,LNSL01,0000006782,8033789223          
BestTRP	2012-01-06 09:43:30	0	排車轉訂單	WMS: 0000006280,TMS: F120106073,LNSL01,0000006783,8033789226          
BestTRP	2012-01-06 09:43:30	0	排車轉訂單	WMS: 0000006281,TMS: F120106073,LNSL01,0000006784,8033789228          
BestTRP	2012-01-06 09:43:30	0	排車轉訂單	WMS: 0000006282,TMS: F120106073,LNSL01,0000006785,8033789229          
BestTRP	2012-01-06 09:43:30	0	排車轉訂單	WMS: 0000006283,TMS: F120106073,LNSL01,0000006786,8033789230          
BestTRP	2012-01-06 09:43:32	0	排車轉訂單	WMS: 0000006284,TMS: F120106073,LNSL01,0000006787,8033789231          
BestTRP	2012-01-06 09:43:32	0	排車轉訂單	WMS: 0000006285,TMS: F120106073,LNSL01,0000006788,8033789232          
BestTRP	2012-01-06 09:43:32	0	排車轉訂單	WMS: 0000006286,TMS: F120106073,LNSL01,0000006789,8033789234          
BestTRP	2012-01-06 09:43:32	0	排車轉訂單	WMS: 0000006287,TMS: F120106073,LNSL01,0000006790,8033789235          
BestTRP	2012-01-06 09:43:32	0	排車轉訂單	WMS: 0000006288,TMS: F120106073,LNSL01,0000006791,8033789236          
BestTRP	2012-01-06 09:43:33	0	排車轉訂單	WMS: 0000006289,TMS: F120106073,LNSL01,0000006792,8033789237          
BestTRP	2012-01-06 09:43:33	0	排車轉訂單	WMS: 0000006290,TMS: F120106073,LNSL01,0000006793,8033789238          
BestTRP	2012-01-06 09:43:33	0	排車轉訂單	WMS: 0000006291,TMS: F120106073,LNSL01,0000006794,8033789239          
BestTRP	2012-01-06 09:43:33	0	排車轉訂單	WMS: 0000006292,TMS: F120106073,LNSL01,0000006795,8033789270          
BestTRP	2012-01-06 09:43:33	0	排車轉訂單	WMS: 0000006293,TMS: F120106073,LNSL01,0000006796,8033789272          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006294,TMS: F120106073,LNSL01,0000006797,8033789273          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006295,TMS: F120106073,LNSL01,0000006798,8033789277          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006296,TMS: F120106073,LNSL01,0000006799,8033789278          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006297,TMS: F120106073,LNSL01,0000006800,8033789279          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006298,TMS: F120106073,LNSL01,0000006801,8033789280          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006299,TMS: F120106073,LNSL01,0000006802,8033789285          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006300,TMS: F120106073,LNSL01,0000006803,8033789286          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006301,TMS: F120106073,LNSL01,0000006804,8033789287          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006302,TMS: F120106073,LNSL01,0000006805,8033789300          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006303,TMS: F120106073,LNSL01,0000006806,8033789301          
BestTRP	2012-01-06 09:43:34	0	排車轉訂單	WMS: 0000006304,TMS: F120106073,LNSL01,0000006807,8033789302          
BestTRP	2012-01-06 09:43:35	0	排車轉訂單	WMS: 0000006305,TMS: F120106073,LNSL01,0000006808,8033789303          
BestTRP	2012-01-06 09:43:35	0	排車轉訂單	WMS: 0000006306,TMS: F120106073,LNSL01,0000006809,8033789304          
BestTRP	2012-01-06 09:43:35	0	排車轉訂單	WMS: 0000006307,TMS: F120106073,LNSL01,0000006810,8033789305          
BestTRP	2012-01-06 09:43:35	0	排車轉訂單	WMS: 0000006308,TMS: F120106073,LNSL01,0000006811,8033789306          
BestTRP	2012-01-06 09:43:35	0	排車轉訂單	WMS: 0000006309,TMS: F120106073,LNSL01,0000006812,8033789310          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006310,TMS: F120106073,LNSL01,0000006813,8033789311          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006311,TMS: F120106073,LNSL01,0000006814,8033789312          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006312,TMS: F120106073,LNSL01,0000006815,8033789315          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006313,TMS: F120106073,LNSL01,0000006816,8033789316          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006314,TMS: F120106073,LNSL01,0000006817,8033789318          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006315,TMS: F120106073,LNSL01,0000006818,8033789319          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006316,TMS: F120106073,LNSL01,0000006819,8033789320          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006317,TMS: F120106073,LNSL01,0000006822,8033789324          
BestTRP	2012-01-06 09:43:36	0	排車轉訂單	WMS: 0000006318,TMS: F120106073,LNSL01,0000006823,8033789328          
BestTRP	2012-01-06 09:43:37	0	排車轉訂單	WMS: 0000006319,TMS: F120106073,LNSL01,0000006824,8033789329          
BestTRP	2012-01-06 09:43:38	0	排車轉訂單	WMS: 0000006320,TMS: F120106073,LNSL01,0000006825,8033749298          
BestTRP	2012-01-06 09:43:38	0	排車轉訂單	WMS: 0000006321,TMS: F120106073,LNSL01,0000006826,8033781166          
BestTRP	2012-01-06 09:43:38	0	排車轉訂單	WMS: 0000006322,TMS: F120106073,LNSL01,0000006827,8033781167          
BestTRP	2012-01-06 09:43:38	0	排車轉訂單	WMS: 0000006323,TMS: F120106073,LNSL01,0000006828,8033781168          
BestTRP	2012-01-06 09:43:39	0	排車轉訂單	WMS: 0000006324,TMS: F120106073,LNSL01,0000006829,8033781169          
BestTRP	2012-01-06 09:43:39	0	排車轉訂單	WMS: 0000006325,TMS: F120106073,LNSL01,0000006830,8033782567          
BestTRP	2012-01-06 09:43:39	0	排車轉訂單	WMS: 0000006326,TMS: F120106073,LNSL01,0000006831,8033782568          
BestTRP	2012-01-06 09:43:39	0	排車轉訂單	WMS: 0000006327,TMS: F120106073,LNSL01,0000006832,8033782569          
BestTRP	2012-01-06 09:43:39	0	排車轉訂單	WMS: 0000006328,TMS: F120106073,LNSL01,0000006833,8033782570          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006329,TMS: F120106073,LNSL01,0000006834,8033782571          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006330,TMS: F120106073,LNSL01,0000006835,8033784235          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006331,TMS: F120106073,LNSL01,0000006836,8033784236          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006332,TMS: F120106073,LNSL01,0000006837,8033784237          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006333,TMS: F120106073,LNSL01,0000006838,8033784238          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006334,TMS: F120106073,LNSL01,0000006839,8033784243          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006335,TMS: F120106073,LNSL01,0000006840,8033784244          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006336,TMS: F120106073,LNSL01,0000006841,8033784247          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006337,TMS: F120106073,LNSL01,0000006842,8033784248          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006338,TMS: F120106073,LNSL01,0000006843,8033784249          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006339,TMS: F120106073,LNSL01,0000006844,8033784254          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006340,TMS: F120106073,LNSL01,0000006845,8033784256          
BestTRP	2012-01-06 09:43:40	0	排車轉訂單	WMS: 0000006341,TMS: F120106073,LNSL01,0000006846,8033784257          
BestTRP	2012-01-06 09:43:41	0	排車轉訂單	WMS: 0000006342,TMS: F120106073,LNSL01,0000006847,8033784259          
BestTRP	2012-01-06 09:43:41	0	排車轉訂單	WMS: 0000006343,TMS: F120106073,LNSL01,0000006848,8033785261          
BestTRP	2012-01-06 09:43:41	0	排車轉訂單	WMS: 0000006344,TMS: F120106073,LNSL01,0000006849,8033785262          
BestTRP	2012-01-06 09:43:41	0	排車轉訂單	WMS: 0000006345,TMS: F120106073,LNSL01,0000006850,8033785264          
BestTRP	2012-01-06 09:43:41	0	排車轉訂單	WMS: 0000006346,TMS: F120106073,LNSL01,0000006851,8033785265          
BestTRP	2012-01-06 09:43:42	0	排車轉訂單	WMS: 0000006347,TMS: F120106073,LNSL01,0000006852,8033785266          
BestTRP	2012-01-06 09:43:42	0	排車轉訂單	WMS: 0000006348,TMS: F120106073,LNSL01,0000006853,8033785267          
BestTRP	2012-01-06 09:43:42	0	排車轉訂單	WMS: 0000006349,TMS: F120106073,LNSL01,0000006854,8033785268          
BestTRP	2012-01-06 09:43:42	0	排車轉訂單	WMS: 0000006350,TMS: F120106073,LNSL01,0000006855,8033785270          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006351,TMS: F120106073,LNSL01,0000006860,8033793930          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006352,TMS: F120106073,LNSL01,0000006861,8033793931          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006353,TMS: F120106073,LNSL01,0000006862,8033793932          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006354,TMS: F120106073,LNSL01,0000006863,8033793933          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006355,TMS: F120106073,LNSL01,0000006864,8033793934          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006356,TMS: F120106073,LNSL01,0000006865,8033793935          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006357,TMS: F120106073,LNSL01,0000006866,8033793936          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006358,TMS: F120106073,LNSL01,0000006867,8033793937          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006359,TMS: F120106073,LNSL01,0000006868,8033793938          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006360,TMS: F120106073,LNSL01,0000006869,8033793939          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006361,TMS: F120106073,LNSL01,0000006870,8033793940          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006362,TMS: F120106073,LNSL01,0000006871,8033793941          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006363,TMS: F120106073,LNSL01,0000006872,8033793942          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006364,TMS: F120106073,LNSL01,0000006873,8033793943          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006365,TMS: F120106073,LNSL01,0000006874,8033800790          
BestTRP	2012-01-06 09:43:43	0	排車轉訂單	WMS: 0000006366,TMS: F120106073,LNSL01,0000006875,8033800791          
BestTRP	2012-01-06 09:43:44	0	排車轉訂單	WMS: 0000006367,TMS: F120106073,LNSL01,0000006876,8033800792          
BestTRP	2012-01-06 09:43:44	0	排車轉訂單	WMS: 0000006368,TMS: F120106073,LNSL01,0000006877,8033800793          
BestTRP	2012-01-06 09:43:44	0	排車轉訂單	WMS: 0000006369,TMS: F120106073,LNSL01,0000006878,8033800796          
BestTRP	2012-01-06 09:43:45	0	排車轉訂單	WMS: 0000006370,TMS: F120106073,LNSL01,0000006879,8033800797          
BestTRP	2012-01-06 09:43:45	0	排車轉訂單	WMS: 0000006371,TMS: F120106073,LNSL01,0000006880,8033800798          
BestTRP	2012-01-06 09:43:45	0	排車轉訂單	WMS: 0000006372,TMS: F120106073,LNSL01,0000006881,8033800880          
BestTRP	2012-01-06 09:43:45	0	排車轉訂單	WMS: 0000006373,TMS: F120106073,LNSL01,0000006882,8033800881          
BestTRP	2012-01-06 09:43:45	0	排車轉訂單	WMS: 0000006374,TMS: F120106073,LNSL01,0000006883,8033800882          
BestTRP	2012-01-06 09:43:45	0	排車轉訂單	WMS: 0000006375,TMS: F120106073,LNSL01,0000006884,8033800883          
BestTRP	2012-01-06 09:43:45	0	排車轉訂單	WMS: 0000006376,TMS: F120106073,LNSL01,0000006885,8033800884          
2012-01-13 17:01:58 退換貨與拒短收明細	-2147467259	[DBNETLIB][ConnectionWrite (send()).]一般網路錯誤。 查閱您的網路文件。	
2012-01-18 17:59:39 Recordset2Excel	3367	物件已經在集合物件中。無法附加。	欄位名稱( Description)重複！
2012-01-29 01:45:22 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-03-03 16:31:20 出貨資料回傳	383	'Text' 屬性是唯讀的	
2012-03-03 16:47:21 出貨資料回傳	383	'Text' 屬性是唯讀的	
2012-03-02 09:12:10 訂單接收	-2147467259	作業系統無法支援選取的排序法則。	
2012-03-26 15:21:59 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-03-29 08:52:27 每日KPI	383	'Text' 屬性是唯讀的	
2012-04-05 19:02:51 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-06 11:28:34 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-08 22:27:29 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-08 22:44:15 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-08 22:44:47 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-08 22:45:57 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-17 11:30:45 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-17 11:36:23 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-04-24 10:25:59 到貨追蹤表	-2147217913	資料型別 datetime 對 substring 函數而言無效。容許的型別為: char/varchar、nchar/nvarchar、以及 binary/varbinary。	
2012-05-02 12:53:35 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-05-02 12:54:01 Recordset2Excel	3367	物件已經在集合物件中。無法附加。	欄位名稱( Description)重複！
2012-05-02 13:33:41 Recordset2Excel	3367	物件已經在集合物件中。無法附加。	欄位名稱( Description)重複！
2012-05-31 下午 02:21:23 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-05-31 下午 02:50:34 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-05-31 下午 02:57:19 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-05-31 下午 02:58:10 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-05-31 下午 03:07:13 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-05-31 下午 03:12:53 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-06-01 下午 02:52:06 回單檢核表	6	溢位	
2012-06-04 下午 01:38:15 配送異常維護	3704	當物件關閉時，不允許操作。	cmd_OrderQuery_Click()
2012-06-05 下午 01:30:47 到貨追蹤表	-2147217900	資料庫 'Exceed_ABT' 無法開啟。它目前正在還原當中。	
2012-06-05 下午 01:40:43 到貨追蹤表	-2147217871	逾時過期	
2012-06-08 下午 04:24:57 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-06-09 下午 02:47:26 客戶到貨追蹤表	-2147217913	從字元 (char) 字串轉換到 datetime 的語法錯誤。	
2012-06-21 上午 11:12:29 訂單維護作業 	-2147168242	沒有正在作用的異動。	
2012-06-25 下午 05:27:34 訂單維護作業 	-2147168242	沒有正在作用的異動。	
2012-06-25 下午 05:31:44 訂單維護作業 	-2147168242	沒有正在作用的異動。	
2012-06-26 下午 02:22:31 NSL需求報表	-2147217871	逾時過期	
2012-06-26 下午 03:03:01 NSL需求報表	-2147217871	逾時過期	
2012-06-26 下午 03:25:17 NSL需求報表	-2147217871	逾時過期	
2012-06-29 下午 04:47:58 訂單接收	3265	在所要求名稱或序數的相關集合物件中找不到此項目。	
2012-07-02 下午 12:24:27 ABT需求報表	-2147217900	行 1: '=' 附近的語法不正確。	
2012-07-02 下午 12:26:11 ABT需求報表	-2147217900	行 1: '=' 附近的語法不正確。	
2012-07-02 下午 12:26:54 ABT需求報表	-2147217900	資料行前置詞 'sku' 與用於查詢中的資料表名稱或別名不符。	
2012-07-02 下午 09:58:09 ABT需求報表	-2147217900	關鍵字 'outer' 附近的語法不正確。	
2012-07-02 下午 09:59:07 ABT需求報表	-2147217900	資料行 't1m.ZIP' 在選取清單中無效，因為它並未包含在彙總函數或 GROUP BY 子句中。	
2012-07-02 下午 09:59:35 ABT需求報表	-2147217900	資料行前置詞 'tim' 與用於查詢中的資料表名稱或別名不符。	
